,_latitude,_longitude,238_frequency_buying_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee,283_fulfill_needs,305_electricity_bill_store,306_water_bill_store
218,19.0432183,-98.2304816,2,0,0,0,20,50,59,yes,no,no
219,19.0436860805,-98.2290624576,2,2,4,1,25,25,40,yes,no,no
220,19.0431931,-98.2306296,4,10,5,1,100,200,37,yes,no,no
221,19.043269953,-98.2303334769,1,1,6,1,20,0,30,no,no,no
222,19.04212,-98.2306897,3,5,10,3,100,50,45,yes,no,no
223,19.0430361001,-98.2308608081,2,2,4,1,30,20,45,yes,no,no
224,19.0415468783,-98.2298638299,5,0,5,1,100,25,19,yes,no,no
225,19.0426567364,-98.2310294716,3,2,8,3,20,20,40,yes,no,no
226,19.0413206,-98.2292987,1,0,1,0,60,25,25,yes,no,no
227,19.0420854897,-98.2307311083,3,1,4,0,20,20,35,yes,no,no
228,19.0412647,-98.229244,3,0,1,1,50,100,37,yes,no,no
229,19.0413707429,-98.2293277854,4,1,0,0,15,0,45,yes,no,no
230,19.0402043,-98.227348,1,3,5,2,50,25,24,yes,no,no
231,19.0451231,-98.2195075,7,1,7,0,100,100,36,no,no,no
232,19.0409691807,-98.2288126762,2,2,5,1,15,20,24,yes,no,no
233,19.0449589,-98.219494,2,7,18,8,100,100,18,yes,no,no
234,19.04057935,-98.2280076956,1,4,10,2,20,0,30,yes,no,no
235,19.0454983047,-98.2192319234,5,2,4,1,20,20,40,yes,no,no
236,19.0443529635,-98.2199251994,2,0,0,0,0,0,50,yes,no,no
237,19.0429619637,-98.2206015747,2,4,10,4,35,30,30,yes,no,no
238,19.0461100214,-98.2255785928,2,2,3,1,20,0,35,yes,yes,no
239,19.0440044,-98.2199361,5,5,19,3,100,100,28,yes,no,no
240,19.0438612,-98.2200938,1,4,6,2,50,100,26,yes,no,no
241,19.0452023697,-98.2257524541,7,0,0,0,0,0,70,yes,no,no
242,19.0429181,-98.2206859,5,2,15,5,35,100,19,yes,no,no
243,19.0427433,-98.2208094,1,3,3,3,10,100,27,yes,no,no
244,19.0429409,-98.2214928,2,0,0,0,0,0,75,yes,yes,yes
245,19.0460789,-98.225627,1,2,6,3,25,70,46,yes,no,no
246,19.0451294,-98.2215083,1,2,8,3,20,0,19,yes,no,no
247,19.0450855,-98.221493,1,0,1,1,25,100,35,yes,no,no
248,19.044989,-98.2256509,7,0,10,0,25,0,35,yes,no,no
249,19.045089,-98.2257984,2,0,0,10,30,0,20,yes,no,no
250,19.0024416009,-98.2707588002,1,5,6,4,100,80,32,yes,no,no
251,19.0026356079,-98.2707470655,2,2,0,0,0,0,55,yes,no,yes
252,19.0025271923,-98.2710726187,1,4,6,2,20,10,25,yes,no,no
253,19.0316358466,-98.2488676161,2,0,5,1,50,50,21,yes,yes,no
254,19.0314897329,-98.248885721,1,1,0,0,50,50,48,yes,no,no
255,19.0313236511,-98.2489259541,1,0,3,2,50,100,38,yes,yes,no
256,19.0265075248,-98.2502184436,5,0,1,0,30,50,28,yes,yes,yes
257,19.0580689603,-98.2223478188,1,2,0,0,0,0,35,no,no,no
258,19.0583682147,-98.2316059031,1,0,0,0,0,0,65,yes,no,no
259,19.0585053084,-98.2334729113,1,0,0,2,0,0,50,yes,no,no
260,19.0564664552,-98.2321639214,1,3,5,0,0,50,30,yes,no,no
261,19.0555454411,-98.2325284971,2,1,0,0,0,0,45,yes,no,no
262,19.056802946,-98.2206284126,1,2,4,1,45,100,48,yes,no,no
263,19.0598413203,-98.2349802856,1,1,0,0,0,0,35,no,no,no
264,19.05847939,-98.2335660729,1,1,2,0,35,50,27,yes,no,no
265,19.0620767997,-98.2303385023,1,0,0,0,40,25,42,yes,yes,yes
266,19.0555346049,-98.2329163449,1,2,3,0,0,0,27,yes,no,no
267,19.0590117522,-98.2329944224,1,2,5,0,0,50,35,yes,no,no
268,19.0486443867,-98.1972511858,1,0,0,0,120,70,66,yes,yes,yes
269,19.0644612,-98.3104972,1,1,0,0,80,80,38,yes,yes,yes
270,19.060884,-98.3113835,3,0,0,0,100,100,18,yes,yes,yes
271,19.0183906637,-98.2154550929,2,1,4,0,8,8,20,yes,yes,yes
272,19.0183779545,-98.215541169,5,2,5,0,8,8,21,yes,yes,yes
273,19.048506,-98.2007074,1,0,0,6,200,100,32,yes,yes,yes
274,19.0345269,-98.2632802,2,1,0,0,20,0,40,yes,no,no
275,19.0344490665,-98.2632757723,2,2,0,0,15,15,30,yes,no,no
276,19.0356886303,-98.2625455409,1,2,1,0,25,10,35,yes,yes,yes
277,19.035646794,-98.2625173777,3,1,0,0,25,30,14,yes,no,no
278,19.0357912,-98.2624756,1,2,0,0,50,20,25,yes,no,no
279,19.0361783046,-98.2623266056,2,0,0,0,15,15,54,yes,no,no
280,19.0197941918,-98.2170814276,5,2,0,0,10,10,46,yes,no,no
281,19.0364229827,-98.2626327127,3,0,1,0,20,20,22,no,yes,yes
282,19.0363551575,-98.2626444474,2,3,1,0,30,15,40,yes,no,no
283,19.0367483,-98.263451,1,2,1,0,40,20,19,yes,yes,yes
284,19.0366637,-98.2635697,3,0,0,0,15,30,27,yes,yes,yes
285,19.0345641171,-98.2641572133,2,2,5,0,150,150,18,yes,yes,yes
286,19.0351390524,-98.2666610554,1,1,0,0,100,150,18,yes,no,no
287,19.0352819935,-98.2671411708,1,1,0,0,100,100,15,yes,no,no
288,19.0315343616,-98.2488074989,1,0,0,0,50,30,75,yes,no,no
289,19.0258156295,-98.2492553477,5,8,2,0,39,0,35,yes,yes,yes
290,19.0319169806,-98.2488052547,1,2,2,0,25,25,18,yes,yes,yes
291,19.0313727784,-98.2489068434,1,1,1,2,15,60,20,yes,no,no
292,19.0267601411,-98.2494191453,1,5,6,3,150,200,38,yes,no,no
293,19.0265566535,-98.2502124086,7,0,0,0,50,50,65,yes,yes,yes
294,19.0256704332,-98.2492511719,4,1,0,0,50,100,42,yes,yes,yes
295,19.072236547,-98.166423887,7,0,0,0,0,0,67,yes,no,no
296,19.0723740694,-98.1656574458,5,3,1,0,0,0,33,yes,no,no
297,19.0697383098,-98.1666609272,2,2,1,0,0,0,21,yes,no,no
298,19.0696236004,-98.1665194407,1,4,9,0,0,0,18,yes,no,no
299,19.0708933214,-98.1676251814,1,2,0,0,0,0,18,yes,no,no
300,19.071234278,-98.1671138853,2,2,5,6,200,200,20,yes,yes,yes
301,19.0712311093,-98.1671024859,1,0,0,0,50,50,19,yes,yes,yes
302,19.0711623476,-98.1671789289,2,0,0,0,0,0,22,yes,no,no
303,19.0711626645,-98.1671712175,1,4,2,0,10,10,22,yes,no,no
304,19.0711556933,-98.1671775877,3,2,3,0,0,0,19,yes,no,no
305,19.0708949058,-98.1676315516,2,3,10,0,50,50,22,yes,yes,yes
306,19.0708980745,-98.1676261872,2,6,5,0,40,40,20,yes,yes,yes
307,19.0708936383,-98.1676328927,2,1,8,0,50,100,18,yes,no,no
308,19.0706738863,-98.167602968,1,5,10,0,55,55,21,yes,no,no
309,19.0711531583,-98.1671702117,1,0,1,1,5,5,22,yes,no,no
310,19.0712510723,-98.1670967862,1,0,3,0,100,100,21,yes,no,no
