,_latitude,_longitude,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,145_number_direct_competitors,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,62_frequency_only_services,103_number_own_fridges,24_burnout,172_supplier_frequency,163_number_high_perishable_products,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_
83,19.0214055304,-98.2602818815,5,2.0,0,2.0,0.0,2.0,1.0,60.0,2.0,2.0,1.0,3.0,1.0,20.0,no,no,no
84,19.0213756363,-98.2603025206,1,0.0,0,2.0,0.0,2.0,1.0,60.0,2.0,2.0,1.0,3.0,1.0,20.0,no,no,no
85,19.0215045647,-98.2603047848,0,0.0,4,2.0,0.0,2.0,1.0,60.0,2.0,2.0,1.0,3.0,1.0,20.0,no,no,no
86,19.0207517033,-98.2606833209,1,0.0,0,2.0,0.0,2.0,1.0,60.0,2.0,2.0,1.0,3.0,1.0,20.0,no,no,no
87,19.0205303111,-98.2608489427,2,3.0,4,2.0,0.0,2.0,1.0,60.0,2.0,2.0,1.0,3.0,1.0,20.0,no,yes,yes
88,19.0199264096,-98.261168105,2,1.0,0,2.0,0.0,2.0,1.0,60.0,2.0,2.0,1.0,3.0,1.0,20.0,no,no,no
89,19.01967339,-98.2613383399,1,0.0,3,2.0,0.0,2.0,1.0,60.0,2.0,2.0,1.0,3.0,1.0,20.0,no,yes,no
90,19.0305087704,-98.2498295233,0,1.0,0,2.0,0.0,2.0,1.0,60.0,2.0,2.0,1.0,3.0,1.0,20.0,no,no,yes
91,19.0205671,-98.2608038,0,0.0,2,5.0,1.0,2.0,1.0,60.0,2.0,3.0,2.0,1.0,1.0,1.0,no,no,no
92,19.0203285,-98.2611121,1,0.0,3,1.0,1.0,4.0,1.0,60.0,2.0,3.0,2.0,1.0,3.0,2.0,no,no,no
93,19.0196007,-98.2614382,18,4.0,20,4.0,4.0,15.0,0.0,60.0,0.0,3.0,2.0,1.0,3.0,50.0,no,no,yes
94,19.0199195,-98.2612361,3,0.0,2,2.0,2.0,0.0,1.0,60.0,0.0,3.0,2.0,1.0,1.0,15.0,no,no,no
95,19.0199327,-98.2611435,0,0.0,3,2.0,2.0,0.0,1.0,60.0,0.0,3.0,2.0,1.0,1.0,15.0,no,no,no
96,19.0200161,-98.2612104,0,0.0,3,3.0,3.0,2.0,1.0,60.0,0.0,3.0,2.0,1.0,2.0,35.0,no,no,no
97,19.0204557,-98.2609145,1,3.0,20,3.0,3.0,2.0,1.0,60.0,0.0,3.0,2.0,1.0,2.0,35.0,no,yes,yes
98,19.0231551,-98.2593998,5,0.0,10,3.0,3.0,2.0,1.0,60.0,0.0,3.0,2.0,1.0,2.0,35.0,no,no,no
99,19.0190797,-98.2618108,3,6.0,17,2.0,2.0,10.0,1.0,60.0,0.0,3.0,2.0,1.0,3.0,70.0,no,no,yes
100,19.0264615657,-98.2496625558,2,1.0,8,1.0,1.0,2.0,1.0,60.0,0.0,3.0,2.0,3.0,2.0,10.0,yes,no,yes
101,19.0266720266,-98.2498831674,1,1.0,1,5.0,0.0,3.0,1.0,60.0,0.0,5.0,1.0,3.0,1.0,30.0,no,no,yes
102,19.0256444424,-98.2498637214,5,1.0,0,3.0,0.0,3.0,2.0,60.0,0.0,5.0,1.0,3.0,2.0,20.0,no,no,yes
103,19.0275224253,-98.2492129505,1,0.0,4,2.0,2.0,4.0,1.0,60.0,0.0,5.0,2.0,4.0,2.0,0.0,yes,no,no
104,19.0178438,-98.240939,2,0.0,0,3.0,2.0,0.0,1.0,60.0,0.0,5.0,2.0,4.0,2.0,0.0,no,no,no
105,19.0178378,-98.2409463,1,0.0,0,1.0,1.0,1.0,0.0,60.0,0.0,5.0,2.0,4.0,2.0,0.0,no,no,no
106,19.0602837067,-98.2176778838,6,2.0,22,45.0,45.0,0.0,0.0,60.0,0.0,5.0,2.0,4.0,1.0,0.0,no,no,yes
107,19.0178378,-98.2409463,0,2.0,2,2.0,2.0,3.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,50.0,no,no,yes
108,19.0269731373,-98.2493839413,0,3.0,2,4.0,5.0,2.0,1.0,1.0,1.0,5.0,3.0,7.0,2.0,5.0,no,no,yes
